milestones_total,milestones_completed,milestones_completion_pct,milestones_on_time_pct,time_elapsed_pct,schedule_variance,delivery_velocity,budget_used_pct,budget_efficiency,resource_availability,resource_availability_code,collaborators,sdg_confidence_avg,project_status
7,7,0.9831,0.971,0.9174,0.0657,7.6305,52.84,1.8258,High,2,1,0.573,On Track
5,3,0.6028,0.6185,0.6831,-0.0804,4.3916,42.2,1.3952,Medium,1,10,0.906,At Risk
25,9,0.3461,0.248,0.2277,0.1185,39.5311,42.57,0.7944,Medium,1,2,0.68,At Risk
9,5,0.5745,0.5358,0.5243,0.0503,9.537,46.07,1.2205,Medium,1,3,0.755,On Track
18,8,0.4262,0.5017,0.5311,-0.1049,15.0645,89.12,0.4729,Medium,1,5,0.765,At Risk
8,3,0.3652,0.306,0.2572,0.108,11.6633,42.81,0.8335,High,2,11,0.584,On Track
10,5,0.5031,0.5513,0.5503,-0.0472,9.0858,66.31,0.7474,Medium,1,2,0.83,At Risk
14,5,0.3436,0.4918,0.4136,-0.0699,12.0903,30.72,1.0833,Medium,1,10,0.8,At Risk
11,3,0.2838,0.3562,0.2078,0.076,14.4396,23.72,1.148,Low,0,3,0.851,On Track
13,13,0.99,1.0,0.9504,0.0396,13.6791,78.75,1.2414,High,2,10,0.859,On Track
11,1,0.1113,0.0,0.1498,-0.0386,6.6749,55.11,0.1983,Low,0,8,0.639,At Risk
7,3,0.4179,0.5656,0.5269,-0.109,5.6939,72.79,0.5664,Medium,1,5,0.91,At Risk
19,11,0.5872,0.4681,0.5268,0.0603,20.8794,59.67,0.9678,Low,0,8,0.824,On Track
9,5,0.5366,0.4734,0.4237,0.113,11.8017,67.77,0.7803,High,2,10,0.85,At Risk
11,11,0.99,0.8888,0.765,0.225,14.3788,80.21,1.2191,Low,0,10,0.525,On Track
19,10,0.5018,0.4842,0.4194,0.0824,23.8457,27.48,1.762,Low,0,4,0.764,On Track
13,9,0.6792,0.8012,0.7477,-0.0686,12.0363,72.15,0.9284,Medium,1,6,0.854,At Risk
4,2,0.4291,0.4381,0.479,-0.0499,4.1751,90.02,0.4715,Medium,1,4,0.757,At Risk
8,3,0.3759,0.3557,0.617,-0.2411,4.8625,60.07,0.6156,High,2,7,0.789,At Risk
8,0,0.0235,0.1151,0.2024,-0.1789,0.0,20.11,0.1113,Medium,1,11,0.588,At Risk
11,5,0.461,0.2844,0.2341,0.2269,21.3581,32.75,1.3659,Low,0,11,0.584,On Track
13,0,0.0,0.116,0.09,-0.09,0.0,54.41,0.0,Low,0,7,0.637,At Risk
8,6,0.7776,0.6529,0.6026,0.175,9.9574,57.25,1.3349,High,2,5,0.743,On Track
6,1,0.2258,0.4183,0.3197,-0.0939,3.1277,53.11,0.4174,Medium,1,9,0.605,At Risk
4,2,0.5751,0.592,0.4507,0.1244,4.4375,60.89,0.9293,High,2,11,0.389,On Track
14,14,0.99,1.0,0.8262,0.1638,16.9457,69.84,1.3975,Medium,1,8,0.52,On Track
20,15,0.7606,0.6573,0.7752,-0.0146,19.35,35.76,2.0688,Low,0,9,0.982,On Track
21,6,0.2886,0.4543,0.2381,0.0505,25.1957,60.84,0.4667,High,2,12,0.895,At Risk
6,1,0.2464,0.1862,0.2771,-0.0307,3.6086,67.04,0.3621,Low,0,5,0.614,At Risk
20,13,0.6645,0.8332,0.8539,-0.1894,15.2247,54.05,1.207,Medium,1,11,0.89,At Risk
15,1,0.0899,0.0333,0.2254,-0.1355,4.4368,24.28,0.3556,Medium,1,12,0.25,At Risk
14,7,0.4709,0.6543,0.5741,-0.1032,12.1929,52.3,0.8836,High,2,5,0.638,At Risk
15,7,0.4639,0.4299,0.5627,-0.0988,12.4404,70.16,0.6519,High,2,6,0.44,At Risk
21,14,0.6773,0.7624,0.6064,0.0709,23.0856,81.14,0.8246,High,2,3,0.706,On Track
14,3,0.1904,0.2504,0.2709,-0.0805,11.0724,27.21,0.675,Medium,1,6,0.784,At Risk
5,1,0.2624,0.34,0.4595,-0.1971,2.1764,30.18,0.8415,Low,0,8,0.587,At Risk
10,3,0.2812,0.1486,0.2768,0.0044,10.8373,112.53,0.2477,Low,0,3,0.771,At Risk
22,1,0.0356,0.1066,0.1719,-0.1363,5.8171,33.55,0.1032,Medium,1,12,0.578,At Risk
4,1,0.2092,0.3879,0.2924,-0.0832,3.4197,50.7,0.4046,Medium,1,5,0.715,At Risk
19,16,0.8449,0.9354,0.7773,0.0676,20.5829,14.74,5.3689,High,2,5,0.397,On Track
12,4,0.335,0.3524,0.2111,0.1238,18.9482,18.96,1.6783,Medium,1,11,0.493,On Track
21,11,0.5439,0.2148,0.503,0.0409,21.87,44.55,1.1941,Medium,1,11,0.597,On Track
13,5,0.3966,0.3204,0.225,0.1716,22.224,33.81,1.1394,Medium,1,12,0.915,On Track
3,2,0.5814,0.427,0.4636,0.1178,4.3142,52.45,1.0876,Medium,1,12,0.532,On Track
4,3,0.805,0.729,0.657,0.148,4.5659,27.73,2.8017,Medium,1,4,0.895,On Track
7,1,0.1726,0.2303,0.2389,-0.0663,4.1863,40.14,0.4196,Medium,1,5,0.499,At Risk
22,15,0.682,0.3363,0.4816,0.2003,31.1441,25.3,2.593,Medium,1,11,0.679,On Track
16,14,0.896,0.8582,0.5781,0.3179,24.2188,75.14,1.1767,Low,0,7,0.798,On Track
19,5,0.283,0.3869,0.3677,-0.0847,13.5962,6.63,3.7073,Low,0,6,0.66,At Risk
4,2,0.4096,0.3835,0.6101,-0.2005,3.2781,83.76,0.4833,Medium,1,3,0.667,Delayed
18,6,0.3189,0.5534,0.228,0.0909,26.3159,95.38,0.3308,Low,0,4,0.786,At Risk
22,15,0.6985,0.6155,0.6308,0.0677,23.7788,65.34,1.053,Medium,1,11,0.413,On Track
4,2,0.6189,0.549,0.5987,0.0202,3.3408,58.86,1.0338,Medium,1,1,0.663,On Track
4,3,0.7942,1.0,0.799,-0.0047,3.7548,41.22,1.8814,Low,0,1,0.414,On Track
21,9,0.4217,0.4945,0.4058,0.0159,22.1764,3.0,10.5429,Medium,1,6,0.852,On Track
12,6,0.4899,0.382,0.468,0.0219,12.8199,43.33,1.1051,Medium,1,2,0.789,On Track
19,15,0.8077,0.743,0.6471,0.1606,23.1797,48.95,1.617,High,2,6,0.846,On Track
20,4,0.2092,0.1378,0.2253,-0.0161,17.7528,17.88,1.1083,Medium,1,4,0.78,On Track
16,8,0.4939,0.5169,0.644,-0.1501,12.4224,70.52,0.6907,High,2,10,0.819,At Risk
12,11,0.9079,0.7528,0.6043,0.3036,18.2024,116.28,0.7741,High,2,10,0.89,At Risk
7,1,0.096,0.0,0.223,-0.127,4.4853,15.12,0.5954,Medium,1,4,0.791,At Risk
14,11,0.7662,1.0,0.8299,-0.0637,13.2547,15.23,4.7205,High,2,10,0.683,At Risk
18,2,0.1075,0.0,0.1017,0.0059,19.6705,54.93,0.1923,Medium,1,3,0.753,At Risk
7,5,0.7305,0.754,0.7617,-0.0312,6.5641,41.17,1.7323,Low,0,1,0.671,On Track
10,5,0.5316,0.6236,0.7837,-0.2521,6.3798,61.58,0.8494,Low,0,12,0.819,At Risk
7,1,0.1947,0.1865,0.2272,-0.0325,4.4011,78.83,0.2439,High,2,8,0.872,At Risk
6,5,0.8893,0.8185,0.6492,0.2401,7.7014,38.93,2.2272,Medium,1,2,0.604,On Track
23,7,0.2969,0.3461,0.093,0.2039,75.2953,30.9,0.9308,Medium,1,3,0.711,On Track
24,4,0.1675,0.1359,0.1475,0.02,27.1139,48.58,0.3379,High,2,5,0.665,At Risk
15,6,0.4151,0.44,0.2692,0.1459,22.2843,23.03,1.7273,High,2,5,0.758,On Track
3,1,0.3657,0.3405,0.4279,-0.0623,2.3369,12.95,2.622,Medium,1,1,0.92,At Risk
23,10,0.4455,0.3708,0.6458,-0.2002,15.4857,42.27,1.0297,High,2,9,0.845,At Risk
14,10,0.7104,0.7405,0.863,-0.1526,11.5872,31.76,2.1686,Medium,1,10,0.758,At Risk
23,16,0.6768,0.8222,0.8672,-0.1904,18.4497,88.06,0.76,Medium,1,10,0.55,At Risk
17,15,0.8702,0.7479,0.8031,0.0671,18.6777,74.58,1.1513,Medium,1,10,0.587,On Track
19,14,0.7617,0.6592,0.7695,-0.0077,18.1942,31.71,2.329,Medium,1,12,0.734,On Track
18,13,0.7168,0.5437,0.6458,0.071,20.13,24.89,2.7682,Medium,1,4,0.711,On Track
8,3,0.3218,0.4595,0.6895,-0.3677,4.3508,36.39,0.8606,Low,0,1,0.315,At Risk
4,2,0.533,0.4073,0.5433,-0.0103,3.6809,54.94,0.9528,High,2,1,0.761,On Track
20,14,0.6889,0.6771,0.4836,0.2054,28.9522,38.23,1.756,Low,0,1,0.801,On Track
15,5,0.3656,0.2269,0.3191,0.0465,15.6693,74.76,0.4825,Medium,1,3,0.773,At Risk
10,2,0.2362,0.1846,0.2898,-0.0536,6.9023,63.78,0.3646,High,2,3,0.747,At Risk
4,2,0.3945,0.4758,0.4654,-0.0709,4.2973,50.0,0.7737,Medium,1,2,0.629,At Risk
3,1,0.204,0.5224,0.2905,-0.0865,3.4419,31.02,0.6372,High,2,10,0.485,At Risk
20,10,0.5001,0.7437,0.5998,-0.0997,16.6729,64.61,0.7622,Medium,1,11,0.83,At Risk
9,4,0.4856,0.5475,0.7459,-0.2603,5.3628,38.13,1.241,High,2,3,0.721,At Risk
16,9,0.579,0.4784,0.5606,0.0184,16.0542,40.43,1.3974,Medium,1,4,0.501,On Track
19,2,0.1291,0.0159,0.1258,0.0033,15.8941,44.35,0.2847,Low,0,10,0.465,At Risk
23,16,0.6942,0.6763,0.6671,0.0271,23.9829,42.11,1.6102,Low,0,9,0.762,On Track
23,23,0.99,1.0,0.8801,0.1099,26.1347,39.12,2.4674,Medium,1,11,0.94,Excellent
16,6,0.3708,0.4327,0.4273,-0.0565,14.0412,38.58,0.937,High,2,10,0.733,At Risk
8,2,0.2679,0.0,0.3203,-0.0525,6.2437,51.23,0.5129,High,2,9,0.622,At Risk
12,11,0.8768,1.0,0.8024,0.0743,13.7086,45.91,1.8689,Low,0,2,0.848,On Track
12,7,0.5781,0.5005,0.7227,-0.1446,9.6858,44.63,1.2668,Medium,1,11,0.91,At Risk
4,2,0.4696,0.4798,0.5166,-0.047,3.8718,44.05,1.0422,High,2,12,0.625,On Track
18,5,0.2518,0.3442,0.4171,-0.1653,11.9864,24.42,0.9908,Low,0,12,0.743,At Risk
20,19,0.9269,0.9515,0.7948,0.1321,23.9041,69.22,1.32,High,2,1,0.935,On Track
15,8,0.5068,0.3681,0.3013,0.2055,26.5479,70.29,0.7109,Medium,1,7,0.909,At Risk
17,9,0.5206,0.4329,0.4064,0.1142,22.1464,36.33,1.3946,Medium,1,2,0.366,On Track
23,17,0.7597,0.5831,0.8833,-0.1236,19.2462,81.67,0.919,Medium,1,8,0.493,At Risk
8,3,0.3512,0.3085,0.596,-0.2447,5.0338,18.39,1.8118,Low,0,4,0.758,At Risk
6,3,0.4286,0.3398,0.4144,0.0142,7.2402,28.37,1.4592,Medium,1,5,0.971,On Track
10,6,0.5985,0.3797,0.4021,0.1964,14.9211,3.0,14.962,Medium,1,11,0.746,On Track
4,0,0.1089,0.1569,0.1883,-0.0794,0.0,8.73,1.1194,High,2,2,0.851,At Risk
13,10,0.7723,0.7677,0.4968,0.2755,20.1295,52.48,1.444,Medium,1,12,0.74,On Track
25,18,0.7321,0.6453,0.4847,0.2473,37.1351,46.19,1.5515,High,2,5,0.495,On Track
25,7,0.27,0.4173,0.254,0.016,27.5637,61.9,0.4292,Low,0,1,0.601,At Risk
11,10,0.8863,1.0,0.549,0.3372,18.2137,27.16,3.1472,High,2,11,0.69,Excellent
20,7,0.34,0.2186,0.6625,-0.3225,10.5654,27.85,1.1788,High,2,11,0.945,At Risk
16,0,0.0,0.226,0.1001,-0.1001,0.0,3.0,0.0,Low,0,11,0.725,At Risk
19,10,0.5061,0.3687,0.5531,-0.047,18.0798,68.64,0.7268,Low,0,5,0.378,At Risk
12,8,0.6367,0.7499,0.3937,0.243,20.3199,25.49,2.4037,High,2,11,0.943,On Track
9,0,0.0322,0.1286,0.1922,-0.1601,0.0,40.45,0.0776,High,2,2,0.576,At Risk
19,6,0.3257,0.2287,0.2768,0.0489,21.6755,58.7,0.5456,Medium,1,1,0.888,At Risk
8,4,0.5113,0.1742,0.4235,0.0878,9.4453,22.73,2.1551,High,2,5,0.398,On Track
10,3,0.3471,0.4449,0.3709,-0.0238,8.0885,8.47,3.6658,Medium,1,12,0.607,On Track
9,2,0.2732,0.3139,0.4188,-0.1455,4.7758,43.81,0.6098,Medium,1,3,0.871,At Risk
13,3,0.2505,0.2722,0.2869,-0.0364,10.4574,55.82,0.4409,Medium,1,4,0.671,At Risk
15,4,0.2671,0.5028,0.1113,0.1558,35.9403,3.0,6.6764,High,2,6,0.48,On Track
22,7,0.2995,0.2773,0.4294,-0.1298,16.3037,88.63,0.3342,Medium,1,4,0.746,At Risk
15,11,0.7309,0.4234,0.6767,0.0542,16.2557,29.29,2.4132,Medium,1,11,0.721,On Track
25,12,0.4627,0.3765,0.3073,0.1554,39.0498,27.44,1.627,High,2,11,0.779,On Track
20,2,0.0767,0.2692,0.2778,-0.2011,7.1989,29.56,0.2511,High,2,8,0.883,At Risk
18,6,0.3505,0.3055,0.5702,-0.2197,10.5226,20.93,1.5981,High,2,9,0.8,At Risk
25,2,0.0846,0.0,0.1896,-0.105,10.5495,40.28,0.205,High,2,1,0.709,At Risk
3,2,0.8307,0.796,0.8514,-0.0207,2.3491,75.86,1.0808,Medium,1,7,0.618,On Track
10,7,0.6837,0.7842,0.5024,0.1814,13.934,48.29,1.3871,Low,0,10,0.841,On Track
12,0,0.0141,0.0887,0.1601,-0.146,0.0,25.62,0.0528,High,2,4,0.847,At Risk
15,11,0.7435,1.0,0.8846,-0.1411,12.4352,69.48,1.0548,High,2,10,0.513,At Risk
21,5,0.2517,0.2835,0.0241,0.2276,207.4803,3.0,6.2914,Low,0,2,0.563,On Track
21,20,0.9446,0.9844,0.8182,0.1264,24.4446,71.32,1.3062,Medium,1,3,0.938,On Track
7,2,0.3302,0.3503,0.4361,-0.1059,4.5864,25.5,1.2459,Medium,1,1,0.607,At Risk
3,3,0.99,0.9459,0.9358,0.0542,3.2058,24.9,3.8223,Low,0,2,0.551,On Track
6,5,0.7912,1.0,0.6286,0.1626,7.9542,75.92,1.0287,High,2,10,0.582,On Track
8,3,0.3742,0.3481,0.3572,0.017,8.3985,67.21,0.5486,High,2,6,0.524,At Risk
7,5,0.7842,0.4247,0.7696,0.0145,6.4966,37.03,2.0622,High,2,12,0.456,On Track
3,2,0.6111,0.9081,0.5109,0.1001,3.9144,42.87,1.3928,Low,0,1,0.905,Excellent
4,1,0.2534,0.3548,0.4022,-0.1489,2.486,34.64,0.7108,High,2,3,0.326,At Risk
25,0,0.0,0.0,0.1582,-0.1582,0.0,14.09,0.0,Medium,1,11,0.706,At Risk
23,20,0.8643,0.9046,0.8118,0.0525,24.6352,74.6,1.1433,Medium,1,1,0.722,On Track
25,10,0.3851,0.4669,0.4538,-0.0687,22.0356,25.47,1.4552,Low,0,2,0.924,At Risk
4,2,0.4587,0.4406,0.7107,-0.252,2.814,88.79,0.5109,Medium,1,2,0.803,Delayed
21,5,0.2563,0.0,0.1144,0.1418,43.6977,26.82,0.9212,Medium,1,6,0.78,On Track
9,5,0.5591,0.6631,0.5687,-0.0096,8.7918,37.71,1.4443,Low,0,9,0.968,On Track
24,24,0.99,1.0,0.8305,0.1595,28.8988,31.21,3.0734,Low,0,2,0.582,Excellent
25,24,0.9729,0.7185,0.8073,0.1656,29.7289,43.72,2.1757,Low,0,7,0.674,On Track
6,5,0.8632,0.9402,0.8223,0.0409,6.0802,33.46,2.5053,High,2,4,0.57,On Track
9,3,0.3279,0.0784,0.113,0.215,26.5504,36.94,0.8643,High,2,4,0.92,On Track
6,5,0.8061,0.8556,0.5712,0.2349,8.7529,79.86,0.9969,Medium,1,1,0.631,On Track
4,1,0.2647,0.2886,0.2818,-0.0171,3.5486,25.89,0.9841,Medium,1,11,0.94,On Track
5,3,0.6238,0.772,0.5701,0.0536,5.2618,42.99,1.4179,Medium,1,11,0.873,On Track
23,9,0.4043,0.399,0.3303,0.074,27.2468,3.0,10.108,High,2,5,0.773,On Track
18,8,0.4311,0.5954,0.4859,-0.0549,16.4628,69.61,0.6105,Low,0,2,0.364,At Risk
7,6,0.8205,0.9606,0.6573,0.1632,9.1286,56.94,1.4161,Medium,1,2,0.782,On Track
23,6,0.2626,0.335,0.1766,0.0859,33.9684,47.22,0.5445,Medium,1,4,0.96,At Risk
12,5,0.44,0.6116,0.2254,0.2146,22.1872,34.57,1.237,Medium,1,6,0.79,On Track
13,5,0.4188,0.6236,0.4291,-0.0103,11.6527,47.27,0.8678,High,2,7,0.821,On Track
11,6,0.5176,0.4863,0.6596,-0.142,9.0964,20.16,2.4466,High,2,1,0.526,At Risk
14,12,0.835,0.9594,0.7492,0.0858,16.0172,48.74,1.6788,High,2,5,0.636,On Track
12,2,0.177,0.1176,0.2976,-0.1206,6.7203,59.81,0.2911,Medium,1,1,0.575,At Risk
25,19,0.7744,0.6345,0.6024,0.1721,31.542,29.22,2.5627,Low,0,6,0.939,On Track
13,8,0.587,0.4861,0.4466,0.1404,17.9136,55.31,1.0425,Low,0,10,0.708,On Track
19,17,0.906,0.6556,0.8439,0.0621,20.1444,24.42,3.564,Medium,1,8,0.446,On Track
12,5,0.4551,0.2083,0.5095,-0.0543,9.8141,3.0,11.3787,High,2,10,0.608,At Risk
3,2,0.5062,0.5045,0.5349,-0.0287,3.7392,13.52,3.4866,Low,0,7,0.611,On Track
3,1,0.2222,0.0916,0.5429,-0.3208,1.8418,64.49,0.3393,Medium,1,7,0.821,At Risk
19,0,0.0,0.0521,0.1418,-0.1418,0.0,26.93,0.0,Low,0,2,0.786,At Risk
14,9,0.6739,0.5224,0.7778,-0.1039,11.5711,58.01,1.1421,Medium,1,8,0.817,At Risk
25,12,0.4996,0.5352,0.6922,-0.1925,17.337,31.57,1.534,High,2,1,0.448,At Risk
20,3,0.1302,0.0,0.1672,-0.037,17.9445,74.27,0.173,High,2,10,0.724,At Risk
9,5,0.5624,0.6835,0.4455,0.1168,11.2224,33.25,1.6421,Medium,1,12,0.864,On Track
5,3,0.6175,0.5091,0.6674,-0.0499,4.4949,10.19,5.5163,Medium,1,10,0.678,On Track
12,6,0.4639,0.6128,0.5157,-0.0518,11.6356,38.84,1.1642,Low,0,3,0.73,At Risk
16,15,0.9216,1.0,0.905,0.0166,16.5747,56.53,1.6019,High,2,1,0.819,On Track
19,4,0.1935,0.1824,0.2159,-0.0224,18.5233,44.93,0.4213,High,2,4,0.84,At Risk
12,4,0.3344,0.3651,0.5109,-0.1765,7.8287,46.76,0.7001,Low,0,1,0.707,At Risk
3,3,0.9626,0.7998,0.8137,0.1489,3.687,97.68,0.9755,High,2,6,0.876,On Track
18,15,0.8241,0.5579,0.8615,-0.0375,17.411,71.63,1.1346,High,2,2,0.965,On Track
18,7,0.3748,0.2058,0.5575,-0.1826,12.5569,46.04,0.7967,Medium,1,12,0.894,At Risk
8,7,0.8855,0.8143,0.6892,0.1962,10.1561,3.0,22.1372,Medium,1,8,0.518,On Track
21,10,0.4704,0.3995,0.514,-0.0436,19.4555,56.59,0.8168,Medium,1,6,0.664,On Track
19,19,0.99,0.9819,0.8911,0.0989,21.3209,38.63,2.4983,Medium,1,5,0.927,On Track
21,8,0.3801,0.4764,0.0794,0.3007,100.7699,40.26,0.9213,Medium,1,3,0.633,On Track
12,7,0.6085,0.4139,0.4382,0.1703,15.9737,24.57,2.3792,Medium,1,4,0.851,On Track
25,20,0.8106,1.0,0.6651,0.1454,30.069,33.81,2.3285,Low,0,4,0.569,Excellent
18,0,0.0,0.1934,0.1734,-0.1734,0.0,53.65,0.0,Medium,1,3,0.353,At Risk
6,4,0.6889,0.5335,0.8535,-0.1646,4.6866,71.04,0.9562,High,2,11,0.747,At Risk
5,3,0.6482,0.5661,0.8807,-0.2325,3.4063,36.93,1.7092,Medium,1,8,0.846,At Risk
25,0,0.0171,0.0,0.1276,-0.1105,0.0,44.84,0.0373,Medium,1,9,0.753,At Risk
6,2,0.3879,0.5146,0.4104,-0.0226,4.8727,25.6,1.4582,High,2,11,0.645,On Track
13,6,0.4875,0.6274,0.4784,0.0091,12.5423,90.24,0.5343,High,2,6,0.656,At Risk
6,4,0.6383,0.8757,0.8484,-0.2101,4.7148,83.67,0.7539,Low,0,7,0.387,At Risk
15,6,0.3866,0.3836,0.6917,-0.3051,8.6745,26.28,1.4171,Medium,1,12,0.777,At Risk
5,5,0.99,1.0,0.8104,0.1796,6.1695,12.57,7.2942,Medium,1,7,0.755,Excellent
23,13,0.5511,0.3306,0.4812,0.0698,27.0131,53.42,1.0126,Medium,1,1,0.952,On Track
14,13,0.9397,0.6207,0.7312,0.2086,17.7793,74.95,1.2373,Medium,1,4,0.621,On Track
12,12,0.9715,1.0,0.8287,0.1428,14.4809,57.4,1.6635,Medium,1,5,0.801,On Track
16,15,0.9235,0.9059,0.6491,0.2744,23.1092,61.41,1.4798,High,2,9,0.872,On Track
19,8,0.4279,0.2672,0.549,-0.1211,14.5712,50.66,0.8283,Low,0,3,0.537,At Risk
15,6,0.3981,0.4213,0.4457,-0.0476,13.461,54.78,0.7137,High,2,11,0.793,At Risk
10,8,0.8184,0.6538,0.6725,0.1459,11.8957,63.11,1.2766,Medium,1,8,0.519,On Track
7,2,0.3072,0.1272,0.3293,-0.0221,6.0732,53.49,0.5638,Low,0,9,0.845,At Risk
22,13,0.5719,0.4923,0.5321,0.0398,24.4299,3.0,14.2985,High,2,12,0.631,On Track
22,12,0.5354,0.53,0.4562,0.0793,26.3062,46.34,1.1311,Medium,1,11,0.721,On Track
4,2,0.549,0.5983,0.5201,0.0289,3.8456,32.12,1.6574,Low,0,6,0.645,On Track
21,15,0.7255,0.9111,0.818,-0.0925,18.338,58.45,1.2204,Medium,1,6,0.717,At Risk
19,0,0.0,0.0,0.127,-0.127,0.0,20.17,0.0,Low,0,3,0.87,At Risk
17,1,0.0338,0.0,0.2522,-0.2185,3.9643,31.07,0.1053,Low,0,11,0.529,At Risk
20,20,0.9776,1.0,0.8172,0.1604,24.4735,55.74,1.7229,Low,0,12,0.45,On Track
13,9,0.7177,0.8275,0.67,0.0477,13.4335,39.78,1.7601,High,2,3,0.631,On Track
17,9,0.5548,0.5279,0.5356,0.0192,16.8031,67.57,0.8092,High,2,8,0.765,On Track
25,10,0.413,0.3878,0.6086,-0.1956,16.4323,54.94,0.7382,Medium,1,5,0.585,At Risk
21,7,0.3419,0.2635,0.267,0.0749,26.2148,42.54,0.7853,Medium,1,4,0.913,At Risk
7,0,0.0,0.0,0.204,-0.204,0.0,47.03,0.0,High,2,6,0.78,At Risk
17,6,0.3496,0.5745,0.3327,0.017,18.0357,36.59,0.9302,High,2,11,0.39,On Track
25,15,0.6149,0.745,0.6631,-0.0482,22.621,23.9,2.4692,Medium,1,4,0.906,On Track
19,10,0.5243,0.3516,0.6077,-0.0834,16.4545,53.95,0.9543,Low,0,4,0.798,At Risk
11,4,0.3278,0.5069,0.293,0.0348,13.6511,33.73,0.9438,Low,0,5,0.952,On Track
25,16,0.6402,0.5519,0.6306,0.0096,25.3713,37.63,1.6576,Medium,1,10,0.834,On Track
7,3,0.3606,0.4057,0.2489,0.1117,12.0546,28.11,1.2385,Medium,1,12,0.902,On Track
7,5,0.6776,0.934,0.5631,0.1145,8.8795,15.96,3.9949,Medium,1,4,0.508,Excellent
13,5,0.4204,0.3003,0.5084,-0.0881,9.8338,27.02,1.5004,High,2,10,0.622,At Risk
19,6,0.3226,0.4902,0.3844,-0.0618,15.6083,50.7,0.6239,Medium,1,6,0.777,At Risk
8,2,0.271,0.3207,0.2971,-0.0261,6.7312,42.56,0.6223,High,2,4,0.822,At Risk
13,5,0.367,0.5372,0.4,-0.0329,12.5008,29.21,1.2148,Low,0,4,0.98,On Track
11,5,0.4147,0.6785,0.4365,-0.0218,11.4546,27.11,1.4754,Medium,1,12,0.644,On Track
6,3,0.4463,0.5431,0.324,0.1223,9.2605,51.07,0.857,Medium,1,3,0.352,On Track
24,18,0.7627,0.3407,0.6095,0.1532,29.5317,33.94,2.183,High,2,2,0.814,On Track
9,3,0.3497,0.4615,0.3164,0.0334,9.4828,50.27,0.6822,High,2,7,0.772,At Risk
7,3,0.4254,0.1237,0.275,0.1504,10.9094,49.37,0.8444,Medium,1,3,0.961,On Track
12,8,0.6573,0.5125,0.586,0.0713,13.6517,49.91,1.291,Low,0,12,0.561,On Track
12,4,0.3549,0.4739,0.5098,-0.1549,7.8463,3.0,8.8736,High,2,7,0.759,At Risk
11,9,0.7765,0.5573,0.855,-0.0785,10.5264,72.52,1.0561,High,2,4,0.638,At Risk
6,2,0.4065,0.4151,0.5775,-0.171,3.463,54.21,0.7363,High,2,11,0.676,At Risk
6,3,0.5271,0.5156,0.3815,0.1456,7.8636,61.13,0.8484,Medium,1,5,0.777,On Track
9,5,0.5934,0.5606,0.6099,-0.0165,8.1983,47.33,1.2277,High,2,7,0.649,On Track
17,17,0.99,0.9757,0.6517,0.3383,26.0855,79.42,1.2311,Low,0,1,0.953,On Track
3,3,0.99,1.0,0.9033,0.0867,3.3212,30.67,3.1261,High,2,7,0.958,On Track
16,6,0.3676,0.3171,0.6282,-0.2606,9.5512,42.64,0.8424,Medium,1,12,0.323,At Risk
10,0,0.0,0.0753,0.05,-0.05,0.0,3.0,0.0,High,2,9,0.429,At Risk
23,2,0.0943,0.0866,0.262,-0.1677,7.634,42.16,0.2186,High,2,5,0.423,At Risk
17,8,0.4724,0.3845,0.5233,-0.0509,15.2871,83.72,0.5576,Low,0,1,0.629,At Risk
7,4,0.5763,0.7614,0.5396,0.0368,7.4133,33.75,1.6585,Low,0,5,0.724,On Track
22,18,0.8251,0.86,0.7404,0.0847,24.3119,45.42,1.7773,Medium,1,12,0.443,On Track
15,8,0.5608,0.6954,0.6057,-0.0449,13.2087,50.53,1.0882,Medium,1,1,0.686,On Track
10,6,0.6028,0.4942,0.6725,-0.0698,8.9214,51.56,1.1468,Medium,1,7,0.96,At Risk
25,13,0.5392,0.5063,0.3772,0.162,34.4601,37.01,1.4187,Medium,1,10,0.628,On Track
21,13,0.6089,0.3306,0.46,0.1489,28.2606,41.33,1.4385,Medium,1,12,0.904,On Track
23,18,0.7793,0.9363,0.7982,-0.0189,22.5516,93.18,0.8275,Medium,1,7,0.884,On Track
10,6,0.5582,0.3831,0.3931,0.165,15.2616,39.45,1.3801,High,2,11,0.776,On Track
23,6,0.2497,0.167,0.5974,-0.3478,10.0429,53.37,0.4592,Medium,1,11,0.899,At Risk
25,5,0.209,0.205,0.1285,0.0805,38.9045,24.24,0.828,High,2,10,0.583,On Track
10,3,0.3281,0.418,0.3081,0.02,9.7366,64.81,0.4986,Medium,1,11,0.874,At Risk
8,4,0.5287,0.5532,0.431,0.0976,9.2801,53.8,0.9648,High,2,11,0.846,On Track
6,0,0.0,0.0638,0.1142,-0.1142,0.0,28.29,0.0,High,2,8,0.774,At Risk
16,9,0.5495,0.4997,0.5975,-0.048,15.063,87.62,0.62,Medium,1,6,0.822,At Risk
11,3,0.3138,0.4404,0.2522,0.0616,11.8954,26.66,1.1343,High,2,11,0.752,On Track
25,10,0.3802,0.4117,0.4572,-0.0769,21.8744,75.73,0.4956,Medium,1,2,0.877,At Risk
16,5,0.3189,0.1418,0.2147,0.1042,23.2852,34.28,0.9039,High,2,4,0.752,On Track
15,11,0.7182,0.9155,0.7324,-0.0142,15.0188,37.81,1.8507,High,2,12,0.583,On Track
25,9,0.3721,0.1477,0.148,0.2241,60.8223,71.75,0.5115,High,2,11,0.717,At Risk
